Az,El,Delta,Deldot,Calendar Date (UTC)
115.553212,-1.331506,1.64848470445111,-15.6674609,2026-04-07T02:26:32
115.735793,-1.178684,1.64847842093778,-15.6671281,2026-04-07T02:27:32
115.918559,-1.026095,1.64847213755903,-15.6667898,2026-04-07T02:28:32
116.101515,-0.873743,1.64846585431703,-15.6664462,2026-04-07T02:29:32
116.284661,-0.721629,1.64845957121394,-15.6660971,2026-04-07T02:30:32
116.468,-0.569755,1.64845328825192,-15.6657427,2026-04-07T02:31:32
116.651535,-0.418122,1.64844700543314,-15.6653828,2026-04-07T02:32:32
116.835267,-0.266733,1.64844072275975,-15.6650176,2026-04-07T02:33:32
117.019199,-0.11559,1.64843444023392,-15.664647,2026-04-07T02:34:32
117.203333,0.035307,1.64842815785777,-15.6642711,2026-04-07T02:35:32
117.387671,0.185955,1.64842187563349,-15.6638898,2026-04-07T02:36:32
117.572216,0.336351,1.64841559356318,-15.6635032,2026-04-07T02:37:32
117.756969,0.486495,1.648409311649,-15.6631112,2026-04-07T02:38:32
117.941934,0.636385,1.64840302989308,-15.662714,2026-04-07T02:39:32
118.127111,0.786018,1.64839674829756,-15.6623114,2026-04-07T02:40:32
118.312503,0.935393,1.64839046686456,-15.6619035,2026-04-07T02:41:32
118.498113,1.084508,1.64838418559621,-15.6614903,2026-04-07T02:42:32
118.683943,1.233361,1.64837790449464,-15.6610718,2026-04-07T02:43:32
118.869994,1.38195,1.64837162356195,-15.6606481,2026-04-07T02:44:32
119.056269,1.530274,1.64836534280026,-15.6602191,2026-04-07T02:45:32
119.24277,1.67833,1.64835906221169,-15.6597848,2026-04-07T02:46:32
119.429499,1.826116,1.64835278179832,-15.6593453,2026-04-07T02:47:32
119.616458,1.973631,1.64834650156227,-15.6589006,2026-04-07T02:48:32
119.80365,2.120873,1.64834022150564,-15.6584506,2026-04-07T02:49:32
119.991076,2.267839,1.64833394163051,-15.6579954,2026-04-07T02:50:32
120.178738,2.414528,1.64832766193899,-15.657535,2026-04-07T02:51:32
120.366639,2.560939,1.64832138243315,-15.6570695,2026-04-07T02:52:32
120.554781,2.707068,1.64831510311507,-15.6565987,2026-04-07T02:53:32
120.743166,2.852914,1.64830882398682,-15.6561228,2026-04-07T02:54:32
120.931795,2.998475,1.64830254505049,-15.6556417,2026-04-07T02:55:32
121.120672,3.14375,1.64829626630815,-15.6551554,2026-04-07T02:56:32
121.309797,3.288736,1.64828998776183,-15.6546641,2026-04-07T02:57:32
121.499173,3.433431,1.64828370941363,-15.6541675,2026-04-07T02:58:32
121.688802,3.577833,1.64827743126559,-15.6536659,2026-04-07T02:59:32
121.878686,3.721941,1.64827115331975,-15.6531592,2026-04-07T03:00:32
122.068827,3.865752,1.64826487557818,-15.6526473,2026-04-07T03:01:32
122.259227,4.009265,1.6482585980429,-15.6521304,2026-04-07T03:02:32
122.449888,4.152476,1.64825232071595,-15.6516084,2026-04-07T03:03:32
122.640811,4.295385,1.64824604359937,-15.6510813,2026-04-07T03:04:32
122.832,4.43799,1.64823976669517,-15.6505492,2026-04-07T03:05:32
123.023455,4.580288,1.6482334900054,-15.6500121,2026-04-07T03:06:32
123.215179,4.722277,1.64822721353206,-15.6494699,2026-04-07T03:07:32
123.407174,4.863955,1.64822093727718,-15.6489227,2026-04-07T03:08:32
123.599441,5.005321,1.64821466124274,-15.6483706,2026-04-07T03:09:32
