JDTDB,Calendar Date (TDB),delta-T,X,Y,Z,VX,VY,VZ,Calendar Date (UTC)
2460808.522881945, A.D. 2025-May-13 00:32:57.0000,69.185287,-18044037.75514191,339653467.5679028,168347168.8472975,-18.59493049500317,2.984340634033201,-1.870437304103828,2025-05-13T00:31:47.814758
2460808.523576389, A.D. 2025-May-13 00:33:57.0000,69.185287,-18045153.44075403,339653646.6252358,168347056.6213474,-18.59492798121764,2.984291390320275,-1.870461707108915,2025-05-13T00:32:47.814714
2460808.524270833, A.D. 2025-May-13 00:34:57.0000,69.185287,-18046269.12621677,339653825.6796144,168346944.3939329,-18.59492546727361,2.98424214664418,-1.870486110066633,2025-05-13T00:33:47.814670
2460808.524965278, A.D. 2025-May-13 00:35:57.0000,69.185287,-18047384.81152721,339654004.7310383,168346832.1650545,-18.59492295317107,2.984192903005045,-1.870510512976919,2025-05-13T00:34:47.814707
2460808.525659722, A.D. 2025-May-13 00:36:57.0000,69.185287,-18048500.49668679,339654183.7795075,168346719.9347118,-18.59492043891002,2.984143659402806,-1.870534915839803,2025-05-13T00:35:47.814663
2460808.526354167, A.D. 2025-May-13 00:37:57.0000,69.185287,-18049616.18169553,339654362.8250221,168346607.702905,-18.59491792449045,2.984094415837462,-1.870559318655287,2025-05-13T00:36:47.814740
2460808.527048611, A.D. 2025-May-13 00:38:57.0000,69.185287,-18050731.86655339,339654541.8675822,168346495.4696341,-18.59491540991239,2.984045172309016,-1.870583721423369,2025-05-13T00:37:47.814696
2460808.527743055, A.D. 2025-May-13 00:39:57.0000,69.185287,-18051847.55125818,339654720.9071873,168346383.2348993,-18.59491289517581,2.983995928817563,-1.870608124144002,2025-05-13T00:38:47.814652
2460808.5284375, A.D. 2025-May-13 00:40:57.0000,69.185287,-18052963.23581428,339654899.9438382,168346270.9987,-18.59491038028073,2.98394668536291,-1.870632526817281,2025-05-13T00:39:47.814689
2460808.529131944, A.D. 2025-May-13 00:41:57.0000,69.185287,-18054078.92022094,339655078.9775347,168346158.7610365,-18.59490786522713,2.983897441945092,-1.870656929443191,2025-05-13T00:40:47.814645
2460808.529826389, A.D. 2025-May-13 00:42:57.0000,69.185287,-18055194.60447523,339655258.0082765,168346046.5219089,-18.59490535001503,2.983848198564235,-1.870681332021667,2025-05-13T00:41:47.814722
2460808.530520834, A.D. 2025-May-13 00:43:57.0000,69.185287,-18056310.28857861,339655437.0360636,168345934.2813172,-18.59490283464443,2.983798955220278,-1.870705734552742,2025-05-13T00:42:47.814758
2460808.531215278, A.D. 2025-May-13 00:44:57.0000,69.185287,-18057425.97253107,339655616.0608962,168345822.0392615,-18.59490031911531,2.983749711913219,-1.870730137036413,2025-05-13T00:43:47.814715
2460808.531909722, A.D. 2025-May-13 00:45:57.0000,69.185287,-18058541.65633258,339655795.0827742,168345709.7957415,-18.5948978034277,2.98370046864306,-1.870754539472684,2025-05-13T00:44:47.814671
2460808.532604167, A.D. 2025-May-13 00:46:57.0000,69.185287,-18059657.33998169,339655974.1016974,168345597.5507576,-18.59489528758158,2.983651225409865,-1.870778941861519,2025-05-13T00:45:47.814707
2460808.533298611, A.D. 2025-May-13 00:47:57.0000,69.185287,-18060773.02348131,339656153.1176663,168345485.3043094,-18.59489277157695,2.983601982213507,-1.870803344202985,2025-05-13T00:46:47.814704
2460808.533993056, A.D. 2025-May-13 00:48:57.0000,69.185287,-18061888.70683143,339656332.1306809,168345373.0563969,-18.59489025541381,2.983552739053983,-1.87082774649708,2025-05-13T00:47:47.814741
2460808.5346875, A.D. 2025-May-13 00:49:57.0000,69.185287,-18063004.39002911,339656511.1407406,168345260.8070204,-18.59488773909218,2.983503495931426,-1.870852148743741,2025-05-13T00:48:47.814697
2460808.535381944, A.D. 2025-May-13 00:50:57.0000,69.185287,-18064120.0730758,339656690.1478458,168345148.5561799,-18.59488522261204,2.98345425284577,-1.870876550942999,2025-05-13T00:49:47.814653
2460808.536076389, A.D. 2025-May-13 00:51:57.0000,69.185287,-18065235.75597151,339656869.1519965,168345036.3038752,-18.5948827059734,2.983405009797016,-1.870900953094853,2025-05-13T00:50:47.814690
2460808.536770833, A.D. 2025-May-13 00:52:57.0000,69.185287,-18066351.43871402,339657048.1531922,168344924.0501066,-18.59488018917625,2.983355766785261,-1.870925355199258,2025-05-13T00:51:47.814686
2460808.537465278, A.D. 2025-May-13 00:53:57.0000,69.185287,-18067467.12130772,339657227.1514337,168344811.7948737,-18.59487767222061,2.983306523810311,-1.870949757256306,2025-05-13T00:52:47.814723
2460808.538159722, A.D. 2025-May-13 00:54:57.0000,69.185287,-18068582.80375185,339657406.1467208,168344699.5381765,-18.59487515510645,2.9832572808722,-1.870974159265984,2025-05-13T00:53:47.814679
2460808.538854167, A.D. 2025-May-13 00:55:57.0000,69.185287,-18069698.48604349,339657585.1390533,168344587.2800154,-18.59487263783381,2.983208037971056,-1.870998561228226,2025-05-13T00:54:47.814716
2460808.539548611, A.D. 2025-May-13 00:56:57.0000,69.185287,-18070814.16818409,339657764.1284312,168344475.0203902,-18.59487012040265,2.983158795106817,-1.871022963143065,2025-05-13T00:55:47.814672
2460808.540243056, A.D. 2025-May-13 00:57:57.0000,69.185287,-18071929.85017364,339657943.1148546,168344362.7593008,-18.594867602813,2.983109552279482,-1.871047365010501,2025-05-13T00:56:47.814749
2460808.5409375, A.D. 2025-May-13 00:58:57.0000,69.185287,-18073045.53200995,339658122.098323,168344250.4967476,-18.59486508506485,2.983060309489148,-1.871071766830485,2025-05-13T00:57:47.814705
2460808.541631944, A.D. 2025-May-13 00:59:57.0000,69.185287,-18074161.21369738,339658301.0788373,168344138.2327301,-18.5948625671582,2.983011066735623,-1.871096168603112,2025-05-13T00:58:47.814661
2460808.542326389, A.D. 2025-May-13 01:00:57.0000,69.185287,-18075276.89523518,339658480.0563972,168344025.9672483,-18.59486004909305,2.982961824018938,-1.871120570328368,2025-05-13T00:59:47.814698
